Mois,Categorie,Semaine_Cible,Tache,Statut,Priorité,Notes
Mois 1 Fondations,Personnel,S1,Analyse SWOT personnelle approfondie,À faire,Haute,
Mois 1 Fondations,Personnel,S2,Définition objectifs SMART pour 12 mois,À faire,Haute,
Mois 1 Fondations,Personnel,S3,Mise en place routine sport quotidienne,À faire,Moyenne,
Mois 1 Fondations,Personnel,S4,Lecture 2 livres sur entrepreneuriat Congo/Afrique,À faire,Moyenne,
Mois 1 Fondations,Personnel,S5,Apprentissage bases français business congolais,À faire,Moyenne,
Mois 1 Fondations,Professionnel,S1,Étude de marché détaillée secteur drones Congo,À faire,Haute,
Mois 1 Fondations,Professionnel,S2,Analyse concurrence conseil SI Brazzaville,À faire,Haute,
Mois 1 Fondations,Professionnel,S3,Recherche partenaires potentiels secteur pétrolier,À faire,Moyenne,
Mois 1 Fondations,Professionnel,S4,Contact CARIA pour networking IA,À faire,Moyenne,
Mois 1 Fondations,Professionnel,S5,Élaboration business model canvas initial,À faire,Moyenne,
Mois 1 Fondations,Administratif,S1,Recherche procédures création entreprise OHADA,À faire,Haute,
Mois 1 Fondations,Administratif,S2,Contact consulat Congo pour formalités visa,À faire,Haute,
Mois 1 Fondations,Administratif,S3,Recherche logement temporaire Brazzaville,À faire,Moyenne,
Mois 1 Fondations,Administratif,S4,Constitution dossier bancaire international,À faire,Moyenne,
Mois 1 Fondations,Administratif,S5,Assurance santé internationale,À faire,Moyenne,
Mois 2 Développement,Personnel,S1,Formation leadership entrepreneurial en ligne,À faire,Haute,
Mois 2 Développement,Personnel,S2,Cours accéléré culture et histoire Congo,À faire,Haute,
Mois 2 Développement,Personnel,S3,Amélioration compétences communication/pitch,À faire,Moyenne,
Mois 2 Développement,Personnel,S4,Networking événements tech africains virtuels,À faire,Moyenne,
Mois 2 Développement,Personnel,S5,Développement discipline gestion temps,À faire,Moyenne,
Mois 2 Développement,Professionnel,S1,Prototype première solution drone agriculture,À faire,Haute,
Mois 2 Développement,Professionnel,S2,Développement expertise IA pour secteur pétrolier,À faire,Haute,
Mois 2 Développement,Professionnel,S3,"Contact potentiels clients agriculture (PAM, coopératives)",À faire,Moyenne,
Mois 2 Développement,Professionnel,S4,Élaboration services conseil SI spécialisés,À faire,Moyenne,
Mois 2 Développement,Professionnel,S5,"Recherche financement initial (FIGA, incubateurs)",À faire,Moyenne,
Mois 2 Développement,Administratif,S1,Démarches visa long séjour,À faire,Haute,
Mois 2 Développement,Administratif,S2,Contact TotalEnergies Startup Center,À faire,Haute,
Mois 2 Développement,Administratif,S3,Recherche bureau/espace coworking Brazzaville,À faire,Moyenne,
Mois 2 Développement,Administratif,S4,Constitution équipe technique distante,À faire,Moyenne,
Mois 2 Développement,Administratif,S5,Préparation documents création SARL/SARLU,À faire,Moyenne,
Mois 3 Concrétisation,Personnel,S1,Formation vente et négociation interculturelle,À faire,Haute,
Mois 3 Concrétisation,Personnel,S2,Préparation physique et mentale déménagement,À faire,Haute,
Mois 3 Concrétisation,Personnel,S3,Constitution réseau contacts professionnels,À faire,Moyenne,
Mois 3 Concrétisation,Personnel,S4,Développement compétences gestion financière,À faire,Moyenne,
Mois 3 Concrétisation,Personnel,S5,Plan adaptation vie sociale Brazzaville,À faire,Moyenne,
Mois 3 Concrétisation,Professionnel,S1,Finalisation business plan complet,À faire,Haute,
Mois 3 Concrétisation,Professionnel,S2,Développement MVP solution conseil SI,À faire,Haute,
Mois 3 Concrétisation,Professionnel,S3,Partenariats équipementiers drones,À faire,Moyenne,
Mois 3 Concrétisation,Professionnel,S4,Contact premiers clients potentiels,À faire,Moyenne,
Mois 3 Concrétisation,Professionnel,S5,Préparation pitch investisseurs locaux,À faire,Moyenne,
Mois 3 Concrétisation,Administratif,S1,Réservation vol et organisation déménagement,À faire,Haute,
Mois 3 Concrétisation,Administratif,S2,Finalisation contrats location/services,À faire,Haute,
Mois 3 Concrétisation,Administratif,S3,Transfert fonds et préparation compte local,À faire,Moyenne,
Mois 3 Concrétisation,Administratif,S4,Contact notaire pour création entreprise,À faire,Moyenne,
Mois 3 Concrétisation,Administratif,S5,Assurances matériel et responsabilité civile,À faire,Moyenne,
Mois 4 Finalisation,Personnel,S1,Révision générale connaissances marché Congo,À faire,Haute,
Mois 4 Finalisation,Personnel,S2,Préparation discours présentation entreprise,À faire,Haute,
Mois 4 Finalisation,Personnel,S3,Organisation agenda premiers rendez-vous,À faire,Moyenne,
Mois 4 Finalisation,Personnel,S4,Finalisation stratégie networking local,À faire,Moyenne,
Mois 4 Finalisation,Personnel,S5,Préparation mentale lancement activité,À faire,Moyenne,
Mois 4 Finalisation,Professionnel,S1,Tests finaux solutions techniques,À faire,Haute,
Mois 4 Finalisation,Professionnel,S2,Signature premiers contrats à distance si possible,À faire,Haute,
Mois 4 Finalisation,Professionnel,S3,Constitution stock matériel initial,À faire,Moyenne,
Mois 4 Finalisation,Professionnel,S4,Formation équipe distante procédures,À faire,Moyenne,
Mois 4 Finalisation,Professionnel,S5,Préparation campagne communication lancement,À faire,Moyenne,
Mois 4 Finalisation,Administratif,S1,Voyage prospection finale (si possible),À faire,Haute,
Mois 4 Finalisation,Administratif,S2,Signature définitive contrats locaux,À faire,Haute,
Mois 4 Finalisation,Administratif,S3,Transfert final équipements/matériel,À faire,Moyenne,
Mois 4 Finalisation,Administratif,S4,Finalisation démarches administratives,À faire,Moyenne,
Mois 4 Finalisation,Administratif,S5,Installation et démarrage officiel activités,À faire,Moyenne,
